id,sentence,term,gold_label,TD_LSTM,GCAE,ATAE_LSTM,MemNet,ASGCN,bert_pair,bert_sent,bert_pt,mams_capsnet
1020:1_0,"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports.",HDMI,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1020:1_1,"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports.",ethernet,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
1020:1_2,"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports.",USB ports,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1020:1_3,"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports.",VGA port,neutral,neutral,neutral,positive,neutral,neutral,positive,neutral,neutral,neutral
1020:1_4,"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports.",features,positive,positive,neutral,neutral,neutral,neutral,positive,neutral,positive,neutral
1028:1_0,I really like the size and I'm a fan of the ACERS.,size,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1035:1_0,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,power adaptor,neutral,neutral,negative,negative,negative,negative,negative,negative,negative,negative
1035:1_1,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,power plug,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1035:1_2,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,battery,neutral,negative,negative,negative,negative,negative,negative,negative,negative,negative
1040:1_0,"It feels cheap, the keyboard is not very sensitive.",keyboard,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1044:1_0,The battery is not as shown in the product photos.,battery,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
104:1_0,I've already upgraded o Mavericks and I am impressed with everything about this computer.,Mavericks,positive,positive,positive,positive,positive,positive,neutral,positive,positive,positive
1053:13_0,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",SD card reader,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1053:13_1,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",slot,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1053:13_2,"The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",nail slot on the card,negative,neutral,negative,negative,negative,negative,negative,negative,negative,negative
1056:1_0,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",internet,positive,neutral,positive,neutral,positive,neutral,neutral,neutral,neutral,positive
1056:1_1,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",word processing,positive,neutral,positive,positive,positive,positive,neutral,neutral,neutral,positive
1056:1_2,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",graphic design,positive,neutral,positive,positive,positive,positive,neutral,neutral,neutral,positive
1056:1_3,"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",gaming,positive,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral,positive
105:1_0,"The MAC Mini, wireless keyboard / mouse and a HDMI cable is all I need to get some real work done.",wireless keyboard / mouse,neutral,positive,neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
105:1_1,"The MAC Mini, wireless keyboard / mouse and a HDMI cable is all I need to get some real work done.",HDMI cable,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
1061:1_0,It has all the expected features and more +plus a wide screen and more than roomy keyboard.,screen,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1061:1_1,It has all the expected features and more +plus a wide screen and more than roomy keyboard.,keyboard,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1061:1_2,It has all the expected features and more +plus a wide screen and more than roomy keyboard.,features,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1062:1_0,And I may be the only one but I am really liking Windows 8.,Windows 8,positive,positive,positive,neutral,positive,positive,positive,positive,positive,positive
1063:161_0,If you start on the far right side and scroll to your left the start menu will automatically come up.,start menu,neutral,neutral,negative,negative,negative,negative,neutral,neutral,negative,neutral
1063:166_0,"Lastly, Windows 8 is annoying.",Windows 8,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1063:180_0,Thank goodness for OpenOffice!,OpenOffice,positive,positive,positive,neutral,neutral,positive,positive,positive,positive,positive
1063:373_0,I got the new adapter and there was no change.,adapter,neutral,negative,negative,negative,negative,negative,positive,positive,positive,positive
1063:374_0,so i called technical support.,technical support,neutral,neutral,negative,neutral,negative,neutral,neutral,neutral,neutral,neutral
1063:396_0,The sound was crappy even when you turn up the volume still the same results.,sound,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1063:396_1,The sound was crappy even when you turn up the volume still the same results.,volume,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1063:397_0,The technical support was not helpful as well.,technical support,negative,neutral,positive,positive,negative,negative,negative,negative,negative,negative
1063:403_0,the volume is really low to low for a laptopwas not expectin t volume to be so lowan i hate that about this computer,volume,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1063:403_1,the volume is really low to low for a laptopwas not expectin t volume to be so lowan i hate that about this computer,volume,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1064:1_0,"The battery was completely dead, in fact it had grown about a quarter inch thick lump on the underside.",battery,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1068:1_0,I called Toshiba where I gave them the serial number and they informed me that they were having issues with the mother boards.,mother boards,neutral,negative,negative,neutral,negative,negative,neutral,negative,negative,negative
106:1_0,But the performance of Mac Mini is a huge disappointment.,performance,negative,negative,positive,negative,positive,negative,negative,negative,negative,negative
1074:1_0,"The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it.",touchpad,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
1074:1_1,"The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it.",mouse,neutral,neutral,negative,negative,negative,negative,negative,negative,neutral,negative
1075:1_0,(but Office can be purchased) IF I ever need a laptop again I am for sure purchasing another Toshiba!!,Office,neutral,negative,negative,negative,negative,neutral,negative,negative,neutral,neutral
1076:1_0,"it has all the features that we expected and the price was good, working well so far.",working,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1076:1_1,"it has all the features that we expected and the price was good, working well so far.",price,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1076:1_2,"it has all the features that we expected and the price was good, working well so far.",features,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1077:1_0,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",USB ports,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1077:1_1,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",disk drive,positive,negative,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
1077:1_2,"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",WiFi capability,positive,positive,positive,negative,neutral,neutral,positive,neutral,positive,neutral
1094:1_0,"Nice screen, keyboard works great!",keyboard,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1094:1_1,"Nice screen, keyboard works great!",screen,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
109:1_0,The Mac Mini is probably the simplest example of compact computing out there.,compact computing,positive,negative,positive,negative,negative,positive,positive,positive,positive,positive
1101:1_0,Not sure on Windows 8.,Windows 8,neutral,positive,neutral,negative,positive,negative,neutral,negative,negative,negative
1107:1_0,Biggest complaint is Windows 8 .,Windows 8,negative,negative,negative,negative,positive,negative,negative,negative,negative,negative
1107:3_0,Fine if you have a touch screen.,touch screen,neutral,positive,negative,positive,negative,positive,neutral,positive,positive,positive
1118:1_0,Once you get past learning how to use the poorly designed Windows 8 Set-Up you may feel frustrated.,Windows 8 Set-Up,negative,neutral,positive,negative,negative,negative,negative,negative,negative,negative
1119:1_0,Exactly as posted plus a great value.,value,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1122:1_0,But I do NOT like Win8.,Win8,negative,negative,negative,negative,neutral,negative,negative,negative,negative,negative
1122:5_0,The settings are not user-friendly either.,settings,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
112:1_0,"I work as a designer and coder and I needed a new buddy to work with, not gaming.",gaming,neutral,neutral,neutral,neutral,neutral,neutral,negative,negative,neutral,neutral
1131:1_0,I am please with the products ease of use; out of the box ready; appearance and functionality.,appearance,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1131:1_1,I am please with the products ease of use; out of the box ready; appearance and functionality.,use,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1131:1_2,I am please with the products ease of use; out of the box ready; appearance and functionality.,functionality,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1133:1_0,It has enough memory and speed to run my business with all the flexibility that comes with a laptop.,flexibility,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1133:1_1,It has enough memory and speed to run my business with all the flexibility that comes with a laptop.,memory,positive,positive,positive,neutral,positive,positive,positive,positive,positive,positive
1133:1_2,It has enough memory and speed to run my business with all the flexibility that comes with a laptop.,speed,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1138:1_0,"I like the design and ease of use with the keyboard, plenty of ports.",keyboard,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1138:1_1,"I like the design and ease of use with the keyboard, plenty of ports.",design,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1138:1_2,"I like the design and ease of use with the keyboard, plenty of ports.",ports,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1140:1_0,"It has a very high performance, just for what I needed for.",performance,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1141:1_0,I would have given it 5 starts was it not for the fact that it had Windows 8,Windows 8,negative,neutral,neutral,negative,negative,negative,positive,neutral,negative,negative
1143:1_0,It's a decent computer for the price and hopefully it will last a long time.,price,neutral,positive,positive,positive,positive,positive,positive,positive,positive,positive
1144:1_0,tech support would not fix the problem unless I bought your plan for $150 plus.,tech support,negative,negative,negative,positive,negative,negative,negative,negative,negative,negative
1150:1_0,I do not like too much Windows 8.,Windows 8,negative,positive,positive,negative,negative,negative,positive,negative,negative,negative
1159:1_0,It is a great size and amazing windows 8 included!,size,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1159:1_1,It is a great size and amazing windows 8 included!,windows 8,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
115:1_0,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",Seagate Momentus XT hybrid drives,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
115:1_1,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",OWC upgrade kit,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
115:1_2,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",16GB of RAM,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
115:1_3,"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",hard drive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
1160:2_0,The troubleshooting said it was the AC adaptor so we ordered a new one.,AC adaptor,neutral,neutral,negative,neutral,negative,neutral,neutral,negative,neutral,negative
1171:1_0,and the speakers is the worst ever.,speakers,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
11:1_0,"The case is now slightly larger than the previous generation, but the lack of an external power supply justifies the small increase in size.",external power supply,neutral,negative,negative,negative,negative,negative,negative,negative,negative,negative
11:1_1,"The case is now slightly larger than the previous generation, but the lack of an external power supply justifies the small increase in size.",case,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
121:1_0,Easy to install also small to leave anywhere at your bedroom also very easy to configure for ADSl cable or wifi.,install,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
121:1_1,Easy to install also small to leave anywhere at your bedroom also very easy to configure for ADSl cable or wifi.,configure for ADSl cable or wifi,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
123:1_0,"Put a SSD and use a 21"" LED screen, this set up is silky smooth!",set up,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
123:1_1,"Put a SSD and use a 21"" LED screen, this set up is silky smooth!","21"" LED screen",neutral,positive,positive,positive,positive,positive,neutral,positive,neutral,positive
123:1_2,"Put a SSD and use a 21"" LED screen, this set up is silky smooth!",SSD,neutral,positive,positive,positive,neutral,positive,neutral,positive,neutral,positive
124:1_0,I did add a SSD drive and memory,SSD drive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
124:1_1,I did add a SSD drive and memory,memory,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
128:1_0,Amazing Performance for anything I throw at it.,Performance,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
130:1_0,"Works well, and I am extremely happy to be back to an apple OS.",apple OS,positive,neutral,positive,positive,neutral,positive,positive,positive,positive,positive
130:1_1,"Works well, and I am extremely happy to be back to an apple OS.",Works,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
146:1_0,"I like iTunes, the apparent security, the Mini form factor, all the nice graphics stuff.",iTunes,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
146:1_1,"I like iTunes, the apparent security, the Mini form factor, all the nice graphics stuff.",security,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
146:1_2,"I like iTunes, the apparent security, the Mini form factor, all the nice graphics stuff.",Mini form factor,positive,positive,positive,positive,positive,neutral,positive,positive,positive,positive
146:1_3,"I like iTunes, the apparent security, the Mini form factor, all the nice graphics stuff.",graphics stuff,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
147:5_0,Made interneting (part of my business) very difficult to maintain.,interneting,negative,positive,positive,positive,positive,negative,negative,negative,negative,negative
156:1_0,I found the mini to be:Exceptionally easy to set up,set up,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
160:19_0,"Apple ""Help"" is a mixed bag.","Apple ""Help""",negative,positive,positive,positive,negative,positive,negative,negative,negative,negative
164:1_0,I only wish this mac had a CD/DVD player built in.,CD/DVD player,neutral,negative,neutral,negative,negative,neutral,negative,negative,negative,negative
165:1_0,I've installed to it additional SSD and 16Gb RAM.,SSD,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
165:1_1,I've installed to it additional SSD and 16Gb RAM.,16Gb RAM,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
16:1_0,"The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera.",iPhoto,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
16:1_1,"The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera.",performance,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
16:1_2,"The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera.",built-in applications,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
16:2_0,Web browsing is very quick with Safari browser.,Safari browser,positive,positive,positive,positive,positive,positive,neutral,positive,positive,positive
16:2_1,Web browsing is very quick with Safari browser.,Web browsing,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
179:1_0,Easy to set up and go!,set up,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
17:4_0,"However, I can refute that OSX is ""FAST"".",OSX,negative,positive,positive,positive,positive,positive,positive,positive,positive,positive
181:1_0,After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.,OS,negative,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral,negative
184:1_0,This computer is also awesome for my sons virtual home schooling.,virtual home schooling,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
19:0_0,"I ordered my 2012 mac mini after being disappointed with spec of the new 27"" Imacs.",spec,negative,negative,positive,negative,negative,negative,negative,negative,negative,negative
19:1_0,Apple removed the DVD drive Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.,SDXC slot,negative,neutral,neutral,neutral,neutral,neutral,negative,negative,neutral,negative
19:1_1,Apple removed the DVD drive Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.,adapter,neutral,neutral,neutral,negative,neutral,neutral,negative,negative,neutral,negative
19:1_2,Apple removed the DVD drive Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.,DVD drive Firewire port,neutral,neutral,negative,neutral,neutral,neutral,negative,negative,neutral,negative
1:26_0,The only issue came when I tried scanning to the mac.,scanning,negative,neutral,negative,negative,negative,neutral,negative,negative,negative,negative
200:1_0,The on/off switch is a bit obscure in the rear corner.,on/off switch,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
201:1_0,It's fast at loading the internet.,loading the internet,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
202:1_0,"The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",fans,positive,positive,positive,positive,positive,positive,negative,positive,negative,positive
202:1_1,"The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",runs,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
203:1_0,I tried several monitors and several HDMI cables and this was the case each time.,monitors,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
203:1_1,I tried several monitors and several HDMI cables and this was the case each time.,HDMI cables,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
204:1_0,Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,intel 4000 graphics chipset,neutral,neutral,negative,negative,negative,negative,negative,negative,negative,negative
204:1_1,Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,design,neutral,negative,negative,negative,negative,negative,negative,negative,negative,negative
211:1_0,"Apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",craftmanship,positive,positive,positive,positive,positive,positive,positive,positive,positive,negative
211:1_1,"Apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",product quality,positive,positive,positive,positive,positive,positive,positive,positive,positive,negative
211:1_2,"Apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",aesthetics,positive,positive,positive,positive,positive,positive,positive,positive,positive,negative
211:1_3,"Apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",customer service,positive,positive,positive,positive,positive,positive,positive,positive,positive,negative
217:1_0,Needs a CD/DVD drive and a bigger power switch.,CD/DVD drive,neutral,negative,neutral,negative,negative,negative,negative,negative,negative,negative
217:1_1,Needs a CD/DVD drive and a bigger power switch.,power switch,negative,negative,negative,negative,positive,negative,negative,negative,negative,negative
218:1_0,Not as fast as I would have expect for an i5.,i5,negative,negative,positive,positive,positive,positive,negative,negative,negative,negative
227:1_0,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",tutorial,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral,positive,positive
227:1_1,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",features,neutral,neutral,positive,neutral,neutral,neutral,positive,neutral,positive,positive
227:1_2,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",setup,positive,positive,positive,neutral,neutral,positive,positive,neutral,positive,positive
227:1_3,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",install,positive,positive,positive,neutral,neutral,neutral,positive,neutral,positive,positive
227:1_4,"I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu.",right mouse click menu,neutral,negative,negative,positive,neutral,neutral,positive,neutral,neutral,positive
227_0,If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.,applications,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
22:0_0,Got this Mac Mini with OS X Mountain Lion for my wife.,OS X Mountain Lion,neutral,neutral,positive,neutral,positive,neutral,neutral,neutral,neutral,neutral
242:1_0,It's great for streaming video and other entertainment uses.,streaming video,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
242:1_1,It's great for streaming video and other entertainment uses.,entertainment uses,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
245:1_0,No Cd Rom in the new version there's no way I'm spending that kind of money on something has less features than the older version.,Cd Rom,neutral,negative,neutral,negative,negative,negative,negative,negative,negative,negative
245:1_1,No Cd Rom in the new version there's no way I'm spending that kind of money on something has less features than the older version.,features,negative,negative,neutral,neutral,negative,negative,negative,negative,negative,negative
256:1_0,This hardware seems to be better than the iMac in that it isn't $1400 and smaller.,hardware,positive,negative,negative,negative,negative,negative,positive,negative,positive,negative
258:1_0,"If you ask me, for this price it should be included.",price,negative,negative,positive,positive,negative,neutral,neutral,positive,neutral,positive
25:1_0,It's silent and has a very small footprint on my desk.,footprint,positive,positive,positive,positive,positive,negative,negative,negative,positive,negative
261:0_0,First of all yes this is a mac and it has that nice brushed aluminum .,aluminum,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
266:25_0,Customization on mac is impossible.,Customization,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
267:1_0,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",package,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
267:1_1,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",integrated Intel 4000 card,neutral,neutral,positive,positive,positive,positive,neutral,positive,neutral,neutral
267:1_2,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",wireless Apple Keyboard and Mouse,neutral,neutral,positive,positive,positive,positive,neutral,positive,positive,neutral
267:1_3,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",Quad-Core 2.5 GHz CPU,neutral,neutral,positive,positive,positive,positive,positive,positive,neutral,positive
267:1_4,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",Radeon HD 6750M 512MB graphic card,neutral,neutral,positive,positive,positive,positive,neutral,positive,neutral,neutral
268:1_0,It suddenly can not work.,work,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
269:1_0,On start up it asks endless questions just so itune can sell you more of their products.,start up,negative,positive,positive,positive,positive,positive,neutral,negative,negative,negative
269:1_1,On start up it asks endless questions just so itune can sell you more of their products.,itune,negative,negative,positive,positive,positive,positive,neutral,negative,positive,negative
26:4_0,"Logic board utterly fried, cried, and laid down and died.",Logic board,positive,negative,negative,negative,negative,negative,negative,negative,negative,negative
271:28_0,The only thing I dislike about this laptop are the rubber pads found on the bottom of the computer for grip.,rubber pads,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
271:4_0,OSX Lion is a great performer..extremely fast and reliable.,OSX Lion,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
272:10_0,air has higher resolution but the fonts are small.,resolution,positive,negative,negative,positive,negative,negative,positive,negative,negative,negative
272:10_1,air has higher resolution but the fonts are small.,fonts,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
275:12_0,Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,right click button,neutral,positive,negative,positive,positive,neutral,neutral,positive,positive,positive
275:12_1,Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,two finger clicking,positive,neutral,positive,positive,neutral,neutral,positive,positive,positive,positive
275:7_0,"Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction.",Build Quality,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
275:7_1,"Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction.",unibody construction,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
278:5_0,I was also informed that the components of the Mac Book were dirty.,components,negative,negative,negative,neutral,negative,negative,negative,negative,negative,negative
279:0_0,"Harddrive was in poor condition, had to replace it.",Harddrive,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
